dataset,fpr,tpr,threshold,auc
test,0.0,0.010309278350515464,0.8259686710591847,0.6958762886597939
test,0.0,0.422680412371134,0.1587035987697527,0.6958762886597939
test,0.07142857142857142,0.422680412371134,0.15692621604117543,0.6958762886597939
test,0.07142857142857142,0.4948453608247423,0.14784516413517437,0.6958762886597939
test,0.14285714285714285,0.4948453608247423,0.14370651591552244,0.6958762886597939
test,0.14285714285714285,0.6391752577319587,0.1315799859066113,0.6958762886597939
test,0.21428571428571427,0.6391752577319587,0.13079187410559964,0.6958762886597939
test,0.21428571428571427,0.6701030927835051,0.12823480541577287,0.6958762886597939
test,0.2857142857142857,0.6701030927835051,0.12783788733521897,0.6958762886597939
test,0.2857142857142857,0.7010309278350515,0.12488281236442109,0.6958762886597939
test,0.35714285714285715,0.7010309278350515,0.12173297942067957,0.6958762886597939
test,0.35714285714285715,0.7216494845360825,0.11905521679937207,0.6958762886597939
test,0.5714285714285714,0.7216494845360825,0.11822548644837716,0.6958762886597939
test,0.5714285714285714,0.7422680412371134,0.11680751538510391,0.6958762886597939
test,0.6428571428571429,0.7422680412371134,0.11601248221311013,0.6958762886597939
test,0.6428571428571429,0.7525773195876289,0.11597848646459412,0.6958762886597939
test,0.7142857142857143,0.7525773195876289,0.11542090392534556,0.6958762886597939
test,0.7142857142857143,0.7731958762886598,0.11531086212749904,0.6958762886597939
test,0.8571428571428571,0.7731958762886598,0.1122264612719728,0.6958762886597939
test,0.8571428571428571,0.8041237113402062,0.11046509042655188,0.6958762886597939
test,1.0,0.8041237113402062,0.10744837309301304,0.6958762886597939
test,1.0,1.0,0.0850809267234833,0.6958762886597939
