acc_Z_rms,class_label,window_id
0.28181371715329756,Abnormal,200W_S08_CW_R4_W0625
0.1941983549347108,Abnormal,200W_S10_CCW_R4_W0335
0.17301790915664547,Abnormal,200W_S09_CCW_R4_W0637
0.11490083465871113,Abnormal,200W_S06_CW_R4_W0577
0.22861496742587953,Abnormal,200W_S18_CW_R4_W0392
0.10599512348744505,Normal,100W_S05_CW_R4_W0110
0.0951959589623695,Normal,100W_S05_CW_R4_W0107
0.10641586707922641,Abnormal,200W_S07_CW_R4_W0601
0.18222671810330437,Normal,200W_S03_CW_R4_W0508
0.22250916021917935,Abnormal,200W_S08_CW_R4_W0622
0.07964016259578775,Abnormal,100W_S20_CCW_R4_W0281
0.12622692426587512,Normal,200W_S02_CW_R4_W0430
0.07245598746612703,Normal,100W_S00_CW_R4_W0010
0.10874009320785437,Abnormal,200W_S07_CCW_R4_W0592
0.12894064552287784,Abnormal,100W_S20_CCW_R4_W0276
0.7390451044309069,Abnormal,200W_S01_CW_R4_W0318
0.03821697533235527,Normal,200W_S02_CW_R4_W0473
0.09875187470365321,Normal,100W_S06_CW_R4_W0126
0.18261500115286763,Abnormal,100W_S07_CW_R4_W0152
1.1118845810862026,Abnormal,200W_S01_CCW_R4_W0306
0.0951959589623695,Normal,100W_S05_CW_R4_W0107
0.0996028225801241,Abnormal,100W_S07_CCW_R4_W0142
