acc_Y_rms,class_label,window_id
0.18323630227788995,Normal,100W_S01_CCW_R4_W0021
0.12964836199682675,Abnormal,200W_S20_CW_R4_W0486
0.3933872731148747,Abnormal,200W_S08_CW_R4_W0625
0.1859705231283428,Abnormal,200W_S10_CCW_R4_W0335
0.16233806422408945,Abnormal,200W_S09_CCW_R4_W0637
0.12841545634435972,Abnormal,200W_S06_CW_R4_W0577
0.2670522968543193,Abnormal,200W_S18_CW_R4_W0392
0.09912210321518941,Normal,100W_S05_CW_R4_W0110
0.09853212360631326,Normal,100W_S05_CW_R4_W0107
0.12273034164341307,Abnormal,200W_S07_CW_R4_W0601
0.13512607666540064,Normal,200W_S03_CW_R4_W0508
0.3056654583380295,Abnormal,200W_S08_CW_R4_W0622
0.09533866058224287,Abnormal,100W_S20_CCW_R4_W0281
0.19205122641445202,Normal,200W_S02_CW_R4_W0430
0.08029530587686706,Normal,100W_S00_CW_R4_W0010
0.13545490318371348,Abnormal,200W_S07_CCW_R4_W0592
0.12932065994551292,Abnormal,100W_S20_CCW_R4_W0276
1.427309238746642,Abnormal,200W_S01_CW_R4_W0318
0.034475331387963104,Normal,200W_S02_CW_R4_W0473
0.11667942956558655,Normal,100W_S06_CW_R4_W0126
0.13479075825152995,Abnormal,100W_S07_CW_R4_W0152
2.4291306970372046,Abnormal,200W_S01_CCW_R4_W0306
0.09853212360631326,Normal,100W_S05_CW_R4_W0107
0.1255769416414945,Abnormal,100W_S07_CCW_R4_W0142
0.10722321512834113,Normal,100W_S05_CCW_R4_W0098
0.21983045812166116,Normal,200W_S02_CW_R4_W0462
0.14536219767028782,Abnormal,100W_S02_CW_R4_W0049
0.09413166002390685,Abnormal,100W_S17_CW_R4_W0225
0.16183485884657647,Abnormal,200W_S09_CCW_R4_W0634
0.17424714974396724,Abnormal,200W_S10_CCW_R4_W0330
0.1895584365481404,Normal,200W_S02_CW_R4_W0451
0.20386973716859438,Abnormal,200W_S04_CW_R4_W0533
0.13575247216735603,Normal,200W_S03_CCW_R4_W0499
0.21378091060563661,Normal,200W_S02_CW_R4_W0465
0.3324375614066107,Abnormal,200W_S18_CW_R4_W0391
0.10862809310473315,Normal,100W_S00_CCW_R4_W0002
2.5872430975967835,Abnormal,200W_S01_CCW_R4_W0307
1.4236205771565749,Abnormal,200W_S01_CW_R4_W0316
0.10862809310473315,Normal,100W_S00_CCW_R4_W0002
0.15114093219831165,Abnormal,200W_S20_CW_R4_W0489
0.1391689753334452,Abnormal,100W_S07_CW_R4_W0145
2.5349728696417984,Abnormal,200W_S01_CCW_R4_W0315
0.142102151742696,Abnormal,100W_S08_CW_R4_W0166
0.08966718627229672,Abnormal,100W_S09_CCW_R4_W0182
0.2243668355323632,Abnormal,200W_S04_CCW_R4_W0520
0.15750140141121244,Normal,100W_S01_CW_R4_W0033
0.16822899605572497,Abnormal,100W_S18_CCW_R4_W0240
0.17432543190267935,Normal,100W_S01_CCW_R4_W0018
0.16218691528056664,Abnormal,100W_S08_CW_R4_W0172
0.19519729409544426,Abnormal,200W_S09_CCW_R4_W0632
0.1895584365481404,Normal,200W_S02_CW_R4_W0451
0.12627175140120303,Abnormal,100W_S18_CCW_R4_W0236
0.20798253634143585,Abnormal,200W_S04_CCW_R4_W0513
0.1895584365481404,Normal,200W_S02_CW_R4_W0467
0.13821769166784376,Abnormal,100W_S17_CW_R4_W0230
0.1210606996502046,Abnormal,100W_S07_CCW_R4_W0143
0.14895682396038218,Abnormal,100W_S03_CW_R4_W0066
0.8990173620144929,Abnormal,200W_S01_CCW_R4_W0309
0.09554852566315573,Normal,100W_S00_CCW_R4_W0001
2.557997309961732,Abnormal,200W_S01_CCW_R4_W0311
0.133939389535762,Normal,200W_S02_CW_R4_W0421
0.13512607666540064,Normal,200W_S03_CW_R4_W0508
0.7230447396339668,Abnormal,200W_S01_CCW_R4_W0305
0.14761365379331995,Normal,100W_S01_CW_R4_W0032
1.232683129154731,Abnormal,200W_S01_CCW_R4_W0312
0.15468893652601773,Abnormal,200W_S09_CCW_R4_W0629
0.1533413157194894,Normal,200W_S02_CW_R4_W0460
0.14454273985683364,Abnormal,100W_S02_CW_R4_W0050
0.08965667068887534,Abnormal,100W_S09_CCW_R4_W0178
0.1662759314299951,Abnormal,200W_S04_CCW_R4_W0514
0.1895584365481404,Normal,200W_S02_CW_R4_W0467
0.1675835596186081,Normal,200W_S02_CW_R4_W0463
0.11174496902470389,Normal,100W_S06_CW_R4_W0133
0.18427030059573202,Abnormal,200W_S20_CW_R4_W0492
0.1256587046135441,Normal,100W_S05_CCW_R4_W0099
0.11061968079623843,Normal,100W_S05_CCW_R4_W0096
0.03449868932617618,Normal,200W_S02_CW_R4_W0437
