Gyro_Z_rms,class_label,window_id
62.43973636915183,Abnormal,100W_S03_CCW_R4_W0056
128.92501368213706,Normal,100W_S05_CCW_R4_W0101
122.02460685378205,Normal,100W_S01_CW_R4_W0024
127.27801614686567,Abnormal,200W_S07_CCW_R4_W0583
129.14080305545016,Normal,100W_S05_CW_R4_W0111
49.76529674425647,Normal,200W_S02_CW_R4_W0448
128.5319537768328,Normal,100W_S01_CW_R4_W0031
125.15447977160137,Abnormal,200W_S07_CW_R4_W0594
130.14985405155642,Normal,200W_S03_CW_R4_W0505
69.70277822227163,Abnormal,100W_S18_CCW_R4_W0241
76.70994046857882,Abnormal,200W_S06_CW_R4_W0573
119.81769845510716,Normal,100W_S01_CCW_R4_W0014
134.0717631264492,Abnormal,200W_S17_CCW_R4_W0352
56.59757399823726,Abnormal,200W_S17_CCW_R4_W0362
63.82001296117289,Abnormal,200W_S01_CCW_R4_W0300
135.57925711681972,Abnormal,200W_S10_CCW_R4_W0336
63.09357304626358,Abnormal,100W_S03_CW_R4_W0073
126.31186135128658,Abnormal,200W_S06_CW_R4_W0575
66.2101303105322,Normal,100W_S00_CW_R4_W0009
131.91178252926667,Abnormal,200W_S10_CW_R4_W0348
103.50429305629949,Normal,100W_S01_CCW_R4_W0017
101.58804135635052,Abnormal,100W_S03_CW_R4_W0067
105.19970284110327,Abnormal,100W_S02_CCW_R4_W0042
67.72444116035021,Abnormal,200W_S06_CW_R4_W0582
87.5530241524716,Abnormal,100W_S03_CW_R4_W0069
128.76407617178725,Abnormal,100W_S08_CW_R4_W0171
129.127345865781,Normal,100W_S01_CCW_R4_W0018
66.76976166897047,Abnormal,100W_S08_CW_R4_W0173
88.5625286691944,Normal,200W_S03_CCW_R4_W0497
86.77808660764406,Abnormal,100W_S09_CW_R4_W0189
128.78211687761797,Normal,100W_S00_CCW_R4_W0004
132.51101211676252,Abnormal,200W_S20_CW_R4_W0491
132.64862763644126,Abnormal,200W_S04_CCW_R4_W0518
128.04816796178676,Normal,100W_S05_CCW_R4_W0098
80.13436660210168,Abnormal,200W_S08_CW_R4_W0623
81.86536105239331,Abnormal,100W_S02_CCW_R4_W0039
58.893451482879556,Abnormal,200W_S04_CW_R4_W0532
119.6716352978949,Abnormal,100W_S07_CW_R4_W0144
93.88001517855486,Normal,200W_S02_CW_R4_W0443
86.28487844377263,Abnormal,100W_S20_CCW_R4_W0283
132.45257295698477,Abnormal,200W_S04_CCW_R4_W0522
111.73054096640625,Abnormal,100W_S09_CCW_R4_W0175
49.337015489735194,Normal,200W_S02_CW_R4_W0468
64.92762337627441,Abnormal,100W_S18_CW_R4_W0247
128.97665522899686,Abnormal,100W_S20_CCW_R4_W0274
114.36342170138764,Abnormal,200W_S01_CW_R4_W0320
93.24516907529082,Abnormal,200W_S10_CCW_R4_W0337
80.13253295603072,Abnormal,100W_S18_CCW_R4_W0237
129.54437734250195,Abnormal,100W_S09_CCW_R4_W0181
57.52810308341717,Abnormal,200W_S10_CW_R4_W0350
76.17633750042953,Abnormal,200W_S18_CW_R4_W0388
76.05956890431601,Abnormal,200W_S04_CW_R4_W0531
98.24291531136453,Normal,200W_S02_CW_R4_W0467
77.3838542039511,Abnormal,100W_S03_CW_R4_W0070
119.55523430510831,Normal,100W_S00_CCW_R4_W0000
121.80028520715805,Abnormal,200W_S10_CW_R4_W0347
78.29148885154677,Abnormal,100W_S08_CW_R4_W0169
84.93529907276321,Abnormal,100W_S18_CW_R4_W0250
60.886030962756806,Abnormal,200W_S07_CW_R4_W0597
123.03700577562499,Normal,100W_S00_CW_R4_W0008
176.5930209435056,Normal,200W_S02_CW_R4_W0437
107.46770896951564,Abnormal,100W_S17_CW_R4_W0228
69.8064805340888,Abnormal,200W_S07_CCW_R4_W0593
110.95466295538624,Normal,200W_S02_CW_R4_W0420
128.5933601213832,Abnormal,200W_S09_CCW_R4_W0636
95.72873152657576,Abnormal,200W_S10_CCW_R4_W0329
123.03700577562499,Normal,100W_S00_CW_R4_W0008
63.69568860509413,Normal,100W_S05_CCW_R4_W0096
126.20932714430072,Abnormal,100W_S02_CW_R4_W0051
130.63867384487617,Abnormal,200W_S19_CCW_R4_W0398
126.99385389107587,Abnormal,100W_S03_CCW_R4_W0058
132.36455937803763,Abnormal,200W_S06_CW_R4_W0572
135.91084247936047,Normal,200W_S02_CW_R4_W0442
123.55976117396607,Abnormal,200W_S18_CW_R4_W0386
176.58826639922898,Normal,200W_S02_CW_R4_W0433
66.2101303105322,Normal,100W_S00_CW_R4_W0009
97.96108375232332,Normal,100W_S05_CW_R4_W0112
126.7330524728139,Abnormal,200W_S01_CCW_R4_W0299
128.62448282457297,Abnormal,100W_S02_CCW_R4_W0041
