acc_X_rms,class_label,window_id
0.12138702322104855,Abnormal,200W_S07_CCW_R4_W0592
0.11376046402348435,Abnormal,100W_S20_CCW_R4_W0276
0.4273432778044427,Abnormal,200W_S01_CW_R4_W0318
0.0367939391858327,Normal,200W_S02_CW_R4_W0473
0.11063471879345303,Normal,100W_S06_CW_R4_W0126
0.14684618149238313,Abnormal,100W_S07_CW_R4_W0152
0.7958416150986262,Abnormal,200W_S01_CCW_R4_W0306
0.09347746041232545,Normal,100W_S05_CW_R4_W0107
0.12156514272433062,Abnormal,100W_S07_CCW_R4_W0142
0.09139310037963329,Normal,100W_S05_CCW_R4_W0098
0.16419632635861664,Normal,200W_S02_CW_R4_W0462
0.12043390345186626,Abnormal,100W_S02_CW_R4_W0049
0.11484305539579605,Abnormal,100W_S17_CW_R4_W0225
0.15297510598561695,Abnormal,200W_S09_CCW_R4_W0634
0.14861113428157213,Abnormal,200W_S10_CCW_R4_W0330
0.15770578279343628,Normal,200W_S02_CW_R4_W0451
0.1583874386049705,Abnormal,200W_S04_CW_R4_W0533
0.22008481077939632,Normal,200W_S03_CCW_R4_W0499
0.14766685367684246,Normal,200W_S02_CW_R4_W0465
0.21321848620857187,Abnormal,200W_S18_CW_R4_W0391
0.09156740973691217,Normal,100W_S00_CCW_R4_W0002
0.7133111585473361,Abnormal,200W_S01_CCW_R4_W0307
0.9580542798464861,Abnormal,200W_S01_CW_R4_W0316
0.09156740973691217,Normal,100W_S00_CCW_R4_W0002
0.1387300811107817,Abnormal,200W_S20_CW_R4_W0489
0.13266499754856506,Abnormal,100W_S07_CW_R4_W0145
0.7051279240516889,Abnormal,200W_S01_CCW_R4_W0315
0.12172689770608204,Abnormal,100W_S08_CW_R4_W0166
0.06919674591519473,Abnormal,100W_S09_CCW_R4_W0182
0.17308046993720141,Abnormal,200W_S04_CCW_R4_W0520
0.12063505334848683,Normal,100W_S01_CW_R4_W0033
0.0923502400697258,Abnormal,100W_S18_CCW_R4_W0240
0.14136259556184194,Normal,100W_S01_CCW_R4_W0018
0.10449436748872655,Abnormal,100W_S08_CW_R4_W0172
0.1917495097536215,Abnormal,200W_S09_CCW_R4_W0632
0.15770578279343628,Normal,200W_S02_CW_R4_W0451
0.10283754817147897,Abnormal,100W_S18_CCW_R4_W0236
0.19878951478694684,Abnormal,200W_S04_CCW_R4_W0513
0.15770578279343628,Normal,200W_S02_CW_R4_W0467
0.1534025155259973,Abnormal,100W_S17_CW_R4_W0230
0.13307130906094272,Abnormal,100W_S07_CCW_R4_W0143
0.16773177637241857,Abnormal,100W_S03_CW_R4_W0066
0.6576391225492828,Abnormal,200W_S01_CCW_R4_W0309
0.0864871787452662,Normal,100W_S00_CCW_R4_W0001
0.7218501093037981,Abnormal,200W_S01_CCW_R4_W0311
0.14597633150041187,Normal,200W_S02_CW_R4_W0421
0.21354279008331536,Normal,200W_S03_CW_R4_W0508
0.6251296994549397,Abnormal,200W_S01_CCW_R4_W0305
0.12743751229544,Normal,100W_S01_CW_R4_W0032
0.5537246947266673,Abnormal,200W_S01_CCW_R4_W0312
0.16194797999259583,Abnormal,200W_S09_CCW_R4_W0629
0.13578969826719262,Normal,200W_S02_CW_R4_W0460
0.11313950542165856,Abnormal,100W_S02_CW_R4_W0050
0.07937924250885728,Abnormal,100W_S09_CCW_R4_W0178
0.1757819365712343,Abnormal,200W_S04_CCW_R4_W0514
0.15770578279343628,Normal,200W_S02_CW_R4_W0467
0.1539874498356392,Normal,200W_S02_CW_R4_W0463
0.10508498992876515,Normal,100W_S06_CW_R4_W0133
0.1520065636853369,Abnormal,200W_S20_CW_R4_W0492
0.08702931031376597,Normal,100W_S05_CCW_R4_W0099
0.09396854902032027,Normal,100W_S05_CCW_R4_W0096
0.03701300253876042,Normal,200W_S02_CW_R4_W0437
0.13141820968117512,Normal,100W_S01_CW_R4_W0029
0.15178497056002435,Abnormal,200W_S10_CCW_R4_W0327
0.14168098785970804,Abnormal,200W_S07_CW_R4_W0599
0.1090993049010012,Abnormal,100W_S20_CCW_R4_W0279
0.14766685367684246,Normal,200W_S02_CW_R4_W0465
0.15778840293857443,Abnormal,200W_S10_CCW_R4_W0331
0.13588147703077463,Abnormal,100W_S03_CCW_R4_W0055
0.1539874498356392,Normal,200W_S02_CW_R4_W0447
0.1335755609479482,Abnormal,100W_S07_CCW_R4_W0138
0.07796846507940416,Abnormal,100W_S09_CW_R4_W0193
0.11294669417908583,Abnormal,200W_S17_CCW_R4_W0356
0.13838692986331538,Normal,200W_S02_CW_R4_W0431
0.10256801538281853,Normal,100W_S05_CCW_R4_W0103
0.14136259556184194,Normal,100W_S01_CCW_R4_W0018
0.15268274134063559,Normal,200W_S02_CW_R4_W0459
0.11308391215405145,Abnormal,200W_S07_CCW_R4_W0590
0.18421785204384514,Abnormal,200W_S04_CW_R4_W0530
