,acc_X_mean,acc_X_std,acc_X_rms,acc_X_peak,acc_X_crest,acc_X_kurtosis,acc_X_skewness,acc_Y_mean,acc_Y_std,acc_Y_rms,acc_Y_peak,acc_Y_crest,acc_Y_kurtosis,acc_Y_skewness,acc_Z_mean,acc_Z_std,acc_Z_rms,acc_Z_peak,acc_Z_crest,acc_Z_kurtosis
acc_Y_peak,0.6426492915789213,0.9359935224152565,0.9365678797260687,0.8824646162233336,-0.21261783971725062,-0.053520289861673905,0.019741544113899206,0.8568797369048147,0.9877134619291987,0.9894217025108649,1.0,-0.09993903592426229,0.22843723590863835,0.22090560368195233,0.010586768092005617,0.9665925761036511,0.9668482198585426,0.9461211732302715,-0.005926782053645994,0.34114871920984113
acc_Y_crest,-0.1226195523867954,-0.1459891883826687,-0.1470806870481805,-0.11355614197532297,0.25417690075728816,0.38154642513428216,-0.16112575081037583,-0.16665859068969427,-0.18406357053629266,-0.1830939825933418,-0.09993903592426229,1.0,0.7245690559843779,-0.3474569528114466,0.0645609276013542,-0.13665016030786079,-0.13660992179374087,-0.10322250241848206,0.26780453919411334,0.3123285873231873
acc_Y_kurtosis,0.13606801457822973,0.17865554864310826,0.1775505877268778,0.1941217509074048,0.2670276573486809,0.5903948546432766,-0.23514015935467608,0.13641466453342663,0.1664410659058267,0.1659736205268871,0.22843723590863835,0.7245690559843779,1.0,-0.27102773154858506,0.17412366225058845,0.2044223555644598,0.20477018372440922,0.23265795727935384,0.3029470689218008,0.60157951576385
acc_Y_skewness,0.1400820798188445,0.224024487753724,0.22505849732012373,0.1930022651839578,-0.13218288570041736,-0.1735437888991757,-0.235894947939159,0.25688242324000304,0.22335393027514022,0.22723113394813751,0.22090560368195233,-0.3474569528114466,-0.27102773154858506,1.0,-0.028132117469862255,0.19710569103899972,0.19791475341772027,0.1931357952986256,-0.01916287141766495,-0.04142203020054907
acc_Z_mean,0.12458709052729412,0.0753170563730796,0.07352028716242313,0.12367766024070118,0.09684662219098644,0.14494234989114924,0.017764678576625347,-0.008702994898215506,0.013370783659397726,0.005618373265064647,0.010586768092005617,0.0645609276013542,0.17412366225058845,-0.028132117469862255,1.0,0.07881624855488158,0.079979415269417,0.09603208776356793,-0.016524233618113397,0.12517434048050655
acc_Z_std,0.6300493612046754,0.9536918626042163,0.9536803785020801,0.8975263445122642,-0.26057302636578716,-0.10575400362557733,0.037400870198594525,0.8035049752919788,0.9655340875324288,0.9645094678950566,0.9665925761036511,-0.13665016030786079,0.2044223555644598,0.19710569103899972,0.07881624855488158,1.0,0.9999892902308446,0.9810659261071825,-0.03470377094269536,0.3361964978310615
acc_Z_rms,0.6305802825053689,0.953846601252054,0.9538388145691267,0.8977299260535714,-0.2603599573483363,-0.10535250926331301,0.03735076627145226,0.8041815544727022,0.9656871182520126,0.9646827223121004,0.9668482198585426,-0.13660992179374087,0.20477018372440922,0.19791475341772027,0.079979415269417,0.9999892902308446,1.0,0.9811144445902757,-0.034979253524731274,0.3366566889988845
acc_Z_peak,0.6462159969363198,0.9699027481495606,0.9700400423877616,0.9389729350355897,-0.21195009056225844,-0.053475506765273365,0.02950292840337085,0.7948531465961968,0.9323907004103227,0.9322199671421895,0.9461211732302715,-0.10322250241848206,0.23265795727935384,0.1931357952986256,0.09603208776356793,0.9810659261071825,0.9811144445902757,1.0,0.1019766503414419,0.4245994310524066
acc_Z_crest,-0.06200396802498219,0.05184467960168627,0.051583754800309516,0.11104393182239095,0.21758283243818366,0.36050947071439166,-0.132869098380639,-0.07461301909868064,-0.04067088294924367,-0.03986860988325933,-0.005926782053645994,0.26780453919411334,0.3029470689218008,-0.01916287141766495,-0.016524233618113397,-0.03470377094269536,-0.034979253524731274,0.1019766503414419,1.0,0.6425899365198128
acc_Z_kurtosis,0.18330011273037747,0.3503550978496252,0.3505899259192531,0.3929237531218894,0.16474545520477965,0.46765679817150263,-0.16276720321345356,0.22285717368366623,0.30288457804185726,0.30263003743850725,0.34114871920984113,0.3123285873231873,0.60157951576385,-0.04142203020054907,0.12517434048050655,0.3361964978310615,0.3366566889988845,0.4245994310524066,0.6425899365198128,1.0
