feature,normal_mean,normal_std,abnormal_mean,abnormal_std,mean_diff,mean_diff_pct,t_statistic,p_value,cohens_d,significant,large_effect
Gyro_Z_mean,12.680290224067136,59.49585643236874,0.04409569369906547,44.88644782355368,12.636194530368071,28656.300582557502,2.341893738719206,0.019999668289647183,0.23977663198102903,True,False
acc_Z_kurtosis,0.7933833287881771,0.7804292935265308,0.950548110634255,0.6435644730958371,-0.15716478184607796,-16.534121743844135,-2.175356499099851,0.0305103825508594,-0.21972546501479154,True,False
acc_Z_mean,0.006003541897753236,0.012117576705554606,0.0031913657363402143,0.016624057322771734,0.0028121761614130214,88.11826640208155,2.091279975490918,0.03713093177362748,0.19332467264541306,True,False
Gyro_Z_rms,106.34935879910378,33.23495880667511,100.03006798647935,27.718136671562135,6.3192908126244305,6.31739130026242,2.0481313227191054,0.041548987071132235,0.20650518589814273,True,False
Gyro_X_rms,0.7209047463455733,0.44581065980883483,0.7976626406963776,0.3827918406218629,-0.07675789435080427,-9.622851871787914,-1.840807867569497,0.06675968985907348,-0.18473721432248966,False,False
Gyro_Y_mean,0.41774638489762694,0.47384926618094575,0.5171727032959512,0.7647053703492941,-0.09942631839832428,-19.224974126569037,-1.7386242276796535,0.08279144605567965,-0.15630022111039044,False,False
acc_Y_kurtosis,1.3746679309998773,1.933490679855477,1.0926326526770072,0.9041277466198873,0.2820352783228701,25.812451937242486,1.7271543023858953,0.085789112645602,0.1868678229630334,False,False
acc_Sum_crest,3.3205292389461802,0.4954163833036591,3.249536089513221,0.39985832314507636,0.07099314943295942,2.184716448051333,1.5560457169355013,0.12094218496435265,0.15769947321510394,False,False
Gyro_Y_kurtosis,-0.9219696408498217,0.5602393969799848,-0.8137100472657162,1.0805474700504116,-0.10825959358410553,13.304443511283507,-1.4387008574121443,0.1508984780419985,-0.12578757423180217,False,False
Gyro_X_crest,1.7103596544362694,0.2862172960462265,1.749523302820821,0.4060352507516455,-0.039163648384551664,-2.2385325374864493,-1.2131800476362131,0.22575666628706706,-0.11149073833229328,False,False
acc_X_kurtosis,0.38152934658720206,0.9757428862846848,0.28466265564418813,0.49654783828550003,0.09686669094301392,34.028591043600635,1.1652505595695593,0.24535225967330287,0.1251256012218753,False,False
acc_Sum_skewness,0.9529833059270789,0.2875697697934599,0.9812448412475656,0.2216673146177112,-0.028261535320486697,-2.8801716077869686,-1.0785605309854327,0.28184300463310763,-0.11007762711231821,False,False
Gyro_Z_kurtosis,-0.659954939833707,1.42614524508651,-0.7833314989794641,1.0054953067107042,0.12337655914575707,-15.750235922657762,0.9672066115365973,0.33445486715149086,0.099990869553468,False,False
acc_Z_crest,4.090184124907332,0.5260250771684586,4.1346766796364935,0.530703880144251,-0.04449255472916125,-1.0760830453391796,-0.8622555059196131,0.3892201730617928,-0.0842072478738586,False,False
Gyro_Y_skewness,0.04102033004372449,0.5738789246535334,0.08658172206583178,0.6845693510289809,-0.045561392022107294,-52.62241375548643,-0.7609776951711295,0.44717247535849436,-0.0721303595499925,False,False
Gyro_Z_std,85.33826007030626,38.16663759768748,88.00808961353913,31.955515354943778,-2.669829543232865,-3.033618335492354,-0.7527613737296162,0.45227047413703014,-0.07585099334781228,False,False
Gyro_Y_crest,1.7660880868248892,0.3645839415534813,1.7915449760458366,0.4003099553096557,-0.025456889220947465,-1.4209461420909453,-0.6911172846592315,0.4899756100562208,-0.06649070371091785,False,False
Gyro_Z_skewness,0.0020946303399150402,0.6807919366850251,0.036786682354989185,0.6695282752320406,-0.034692052015074144,-94.30600911573926,-0.523797452031502,0.6008062247061448,-0.051381657227709786,False,False
acc_Z_skewness,0.04574720290844596,0.27633161594018674,0.05717696678077445,0.2247997650955214,-0.01142976387232849,-19.990154280397586,-0.44828827260190635,0.6543249419120257,-0.045376557767890104,False,False
Gyro_X_skewness,-0.07283594490698411,0.7572575326101052,-0.10238419074577666,0.7232786128639288,0.02954824583879255,-28.860164468322875,0.4047590669888135,0.685950693663951,0.03990509404668751,False,False
Gyro_Z_peak,193.17477116738596,50.505495462367044,191.47857770593,48.71155277674843,1.6961934614559482,0.885839806090965,0.3473301849673269,0.7285911164743074,0.034185985126535055,False,False
Gyro_X_kurtosis,-0.7435624139038581,1.2601218517079922,-0.7240950753655507,1.0244490707815734,-0.0194673385383074,2.6885058607089056,-0.16746124345319854,0.8671396283761187,-0.016952483600587213,False,False
acc_Sum_kurtosis,1.1839512395011933,1.1256837146952157,1.1696406605585674,0.9025036767413531,0.014310578942625884,1.2235021767960597,0.1382637281699696,0.8901420965202478,0.014027024634590136,False,False
acc_X_skewness,-0.008682465461164579,0.23834015518012136,-0.011046151854659056,0.2105617801184293,0.002363686393494477,-21.398279007883808,0.10522333249510661,0.9162757896544979,0.010510864943324129,False,False
acc_X_crest,3.8302759851047057,0.46380100262724927,3.8345848663618645,0.48886290666354476,-0.004308881257158781,-0.11236891103800016,-0.0933121166627147,0.9257141244464814,-0.009042834454919576,False,False
