window_id,label_binary,xgb_prob,acc_Y_rms,pred_xgb,pred_rms,pred_hybrid
100W_S10_CW_R4_W0209,0,0.51290417,0.1329406800602742,1,1,1
100W_S10_CW_R4_W0210,0,0.49066323,0.13481038480300409,0,1,0
100W_S10_CW_R4_W0211,0,0.49628794,0.11683959046734584,0,1,0
100W_S10_CW_R4_W0212,0,0.606961,0.11129714785244497,1,1,1
100W_S10_CW_R4_W0213,0,0.4829487,0.14784516413517437,0,1,0
100W_S10_CW_R4_W0214,0,0.555191,0.13687307907796598,1,1,1
200W_S17_CW_R4_W0363,0,0.55764717,0.11531086212749904,1,1,1
200W_S17_CW_R4_W0364,0,0.4072725,0.1587035987697527,0,0,0
200W_S17_CW_R4_W0365,0,0.3586063,0.15606528558319763,0,0,0
200W_S17_CW_R4_W0366,0,0.37803012,0.11143155658539902,0,1,0
200W_S17_CW_R4_W0367,0,0.5802323,0.127166565865588,1,1,1
200W_S17_CW_R4_W0368,0,0.41573986,0.17169180213812654,0,0,0
200W_S17_CW_R4_W0369,0,0.36668786,0.16684726473531278,0,0,0
200W_S17_CW_R4_W0370,0,0.3654397,0.12488281236442109,0,1,0
200W_S17_CW_R4_W0371,0,0.49861836,0.12998349039639145,0,1,0
200W_S17_CW_R4_W0372,0,0.3966227,0.16498806773117347,0,0,0
200W_S17_CW_R4_W0373,0,0.40517446,0.15533136163031286,0,0,0
200W_S17_CW_R4_W0374,0,0.34324571,0.11597848646459412,0,1,0
200W_S18_CCW_R4_W0375,0,0.38911426,0.17255543778943347,0,0,0
200W_S18_CCW_R4_W0376,0,0.29430526,0.8150532295196995,0,0,0
200W_S18_CCW_R4_W0377,0,0.29430526,0.8259686710591847,0,0,0
200W_S18_CCW_R4_W0378,0,0.48831436,0.23715876552810072,0,0,0
200W_S18_CCW_R4_W0379,0,0.6178324,0.18959224650759843,1,0,0
200W_S18_CCW_R4_W0380,0,0.30275917,0.7272012342009126,0,0,0
200W_S18_CCW_R4_W0381,0,0.30275917,0.7495133047164871,0,0,0
200W_S18_CCW_R4_W0382,0,0.29909956,0.28104090712855845,0,0,0
200W_S18_CCW_R4_W0383,0,0.3137939,0.21524537785066372,0,0,0
200W_S18_CCW_R4_W0384,0,0.29914534,0.690744959224022,0,0,0
200W_S18_CCW_R4_W0385,0,0.29909956,0.7153062526463211,0,0,0
200W_S19_CW_R4_W0409,0,0.46370012,0.22031925400717453,0,0,0
200W_S19_CW_R4_W0410,0,0.42925528,0.15652837132133876,0,0,0
200W_S19_CW_R4_W0411,0,0.4456579,0.16425538235583415,0,0,0
200W_S19_CW_R4_W0412,0,0.5629275,0.19842472061198435,1,0,0
200W_S19_CW_R4_W0413,0,0.58034873,0.1973963319742624,1,0,0
200W_S19_CW_R4_W0414,0,0.4299425,0.16446457323401603,0,0,0
200W_S19_CW_R4_W0415,0,0.3654397,0.16592427482797642,0,0,0
200W_S19_CW_R4_W0416,0,0.5401238,0.19149556771092183,1,0,0
200W_S19_CW_R4_W0417,0,0.5464439,0.19503264161351994,1,0,0
200W_S19_CW_R4_W0418,0,0.43853247,0.16764450349394888,0,0,0
200W_S19_CW_R4_W0419,0,0.43853247,0.17177993630906854,0,0,0
200W_S20_CCW_R4_W0474,0,0.44039682,0.15066818356314732,0,0,0
200W_S20_CCW_R4_W0475,0,0.3875908,0.11905521679937207,0,1,0
200W_S20_CCW_R4_W0476,0,0.3658907,0.13461520128859228,0,1,0
200W_S20_CCW_R4_W0477,0,0.44458002,0.17708086091867373,0,0,0
200W_S20_CCW_R4_W0478,0,0.44931823,0.17423990349224933,0,0,0
200W_S20_CCW_R4_W0479,0,0.3654397,0.1331983345061555,0,1,0
200W_S20_CCW_R4_W0480,0,0.3654397,0.13574462753511712,0,1,0
200W_S20_CCW_R4_W0481,0,0.4234627,0.1798909603895866,0,0,0
200W_S20_CCW_R4_W0482,0,0.4328861,0.17654183974498922,0,0,0
200W_S20_CCW_R4_W0483,0,0.3654397,0.1363904047356068,0,1,0
200W_S20_CCW_R4_W0484,0,0.3654397,0.14936917283525877,0,1,0
200W_S20_CCW_R4_W0485,0,0.42921644,0.1953099443366113,0,0,0
200W_S03_CCW_R4_W0504,1,0.52639216,0.14370651591552244,1,1,1
200W_S03_CW_R4_W0512,1,0.54624474,0.15692621604117543,1,0,0
200W_S05_CW_R4_W0548,0,0.35014012,0.186629556695938,0,0,0
200W_S05_CW_R4_W0549,0,0.3169596,0.23452237545674268,0,0,0
200W_S05_CW_R4_W0550,0,0.5118732,0.18964055187271855,1,0,0
200W_S05_CW_R4_W0551,0,0.60646427,0.1326178816219249,1,1,1
200W_S05_CW_R4_W0552,0,0.36211386,0.1858017697584226,0,0,0
