window_id,product,label_binary,acc_Y_rms_low,acc_Y_rms_mid,acc_Y_rms_high,acc_Sum_rms_low,acc_Sum_rms_mid,acc_Sum_rms_high,Gyro_Y_rms_low,Gyro_Y_rms_mid,Gyro_Y_rms_high
100W_S00_CCW_R4_W0001,100W,1,0.021952316527602902,0.05494894808115089,0.06351746266140644,0.02470778719487015,0.044049452705260506,0.0421743381683498,0.006895288231508092,0.0024210603630679278,0.0008577556621349279
200W_S02_CW_R4_W0432,200W,1,0.026714899033542797,0.03976099628434046,0.07421748182229652,0.026608928536500192,0.0325033619130471,0.03152965900714252,0.007012411147514846,0.0016353517355319617,0.0007428733206552794
200W_S03_CW_R4_W0510,200W,1,0.04784265994385615,0.09120652451353695,0.141626005351933,0.06326236028597708,0.13168388890811605,0.08848898022121435,0.013870183234076943,0.00418696600884287,0.001880723728611477
200W_S03_CW_R4_W0508,200W,1,0.058900687379400275,0.07533007231222315,0.07663085923834911,0.04425913854568798,0.10611164235953202,0.07005729545684795,0.011336723986882347,0.0032272332758381227,0.0012221519025961223
200W_S03_CW_R4_W0506,200W,1,0.05273210460270833,0.09164080179175732,0.13734687677683818,0.0553099271704198,0.12658063938785005,0.08513899562507898,0.01068065797508261,0.004188599516897236,0.0017610277853127997
100W_S00_CW_R4_W0009,100W,1,0.02468403549614492,0.06462978799983295,0.08045971144111237,0.025054644613296165,0.06395417185313086,0.05523607828786105,0.0066696881487391625,0.002811696324667762,0.0008897774675133016
200W_S03_CCW_R4_W0499,200W,1,0.06932394065648931,0.07851537661811948,0.05966194435380342,0.08317429879269336,0.1226770709175283,0.06957716976991248,0.010101808743855765,0.0036258646912465053,0.0011180258757913246
200W_S03_CW_R4_W0509,200W,1,0.04774700920459919,0.07992027872916191,0.13626545553626976,0.03703258465762087,0.09500479576944357,0.07806132214784976,0.013146174352627318,0.0038512479402160135,0.0018548680757427961
200W_S02_CW_R4_W0448,200W,1,0.02844033470240374,0.0881870528589075,0.12037599897879957,0.040486767273510395,0.06657965067094111,0.0676897686747322,0.009898646740466784,0.003407336988110649,0.0012847951233484669
200W_S02_CW_R4_W0433,200W,1,0.011785581541411697,0.023159287752692315,0.020165712935277823,0.007625271908099639,0.014044863952179689,0.01557351602255149,0.0015406619352048008,0.000538385951305108,0.0002724149108206821
100W_S06_CW_R4_W0126,100W,1,0.04218014971093789,0.07274385123378493,0.06730865154286234,0.030616305263063102,0.049905590920232695,0.04962828778419461,0.010625024423517728,0.003199425368870377,0.0012142498867354007
200W_S02_CW_R4_W0448,200W,1,0.02844033470240374,0.0881870528589075,0.12037599897879957,0.040486767273510395,0.06657965067094111,0.0676897686747322,0.009898646740466784,0.003407336988110649,0.0012847951233484669
100W_S05_CCW_R4_W0098,100W,1,0.0324143056561335,0.06262588453764498,0.065381605483179,0.023285666794867488,0.04745270384275976,0.042933548173224784,0.009103074170405168,0.003126753888431224,0.0011973431846754078
200W_S02_CW_R4_W0449,200W,1,0.026379211596509383,0.1119141108091328,0.16911339396792893,0.040978988741263454,0.06554965893076471,0.08406745440742014,0.014197933718371282,0.005208310081039452,0.0021121096715024106
200W_S02_CW_R4_W0421,200W,1,0.0282341612903513,0.08388552969699789,0.09395063144874678,0.033888300845806386,0.07371876153113603,0.0618831019740966,0.01059708622987771,0.00360663181497028,0.001377970796267432
200W_S02_CW_R4_W0463,200W,1,0.033898290702890445,0.08898513398211089,0.12881582423851073,0.03970282474310774,0.10389056727062881,0.08928328020774556,0.009485840751126498,0.0036534021721776654,0.0013732967914872037
200W_S03_CW_R4_W0506,200W,1,0.05273210460270833,0.09164080179175732,0.13734687677683818,0.0553099271704198,0.12658063938785005,0.08513899562507898,0.01068065797508261,0.004188599516897236,0.0017610277853127997
200W_S03_CW_R4_W0507,200W,1,0.08728090565964121,0.08825935477063956,0.08800114708376766,0.0798379817987567,0.13414982605901166,0.08125393934932212,0.011232229034825842,0.0032524355293031934,0.0011030065435172762
